,text,user.name,user.statuses_count,user.screen_name,user.followers_count,user.location,user.verified,user.profile_image_url_https,favorite_count,retweet_count,created_at,hashtags,quoted_hashtags,user_lat,user_lng
23,"If you are a researcher in the field(s) of #CulturalHeritage, #DigitalHumanities, #ComputerScience, and/or… https://t.co/ybQYB3xpzX",Digital Science Center (DiSC),205,DiSC_uibk,224,"Innsbruck, Austria",False,https://pbs.twimg.com/profile_images/1202148687180435456/friQttRU_normal.jpg,3,2,2020-12-10 12:27:48,"['CulturalHeritage', 'DigitalHumanities', 'ComputerScience']",[],47.2654296,11.3927685
24,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",Neus Domenech Oller,741,neus_domenech,230,,False,https://pbs.twimg.com/profile_images/1237134484434227202/INp9vUwy_normal.jpg,0,7,2020-12-10 12:03:59,"['opencall', 'digitalhumanities']",[],,
25,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",joel piqué,3941,jpiqueb,212,,False,https://pbs.twimg.com/profile_images/779379040864075776/J5jeFhEI_normal.jpg,0,7,2020-12-10 06:38:27,"['opencall', 'digitalhumanities']",[],,
26,"RT @UNLGeography: 🌟COME STUDY WITH US!🌟

👀Searching for a great #MA or #PhD #geography program in 🗺️📱#GIScience #cartography #webGIS #digit…",K. White,33108,DigtalHumanatee,584,,False,https://pbs.twimg.com/profile_images/1316470327149506566/dHIMR7Qq_normal.jpg,0,1,2020-12-09 23:22:51,"['MA', 'PhD', 'geography', 'GIScience', 'cartography', 'webGIS']",[],,
27,"🌟COME STUDY WITH US!🌟

👀Searching for a great #MA or #PhD #geography program in 🗺️📱#GIScience #cartography #webGIS… https://t.co/hXDuRpLLhg",Nebraska Geography,2703,UNLGeography,811,"Lincoln, Nebraska",False,https://pbs.twimg.com/profile_images/865628678150963200/V7eKsnlg_normal.jpg,6,1,2020-12-09 22:25:56,"['MA', 'PhD', 'geography', 'GIScience', 'cartography', 'webGIS']",[],40.8088861,-96.7077751
28,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",Llull New York,4144,IRLlull_NewYork,1493,New York,False,https://pbs.twimg.com/profile_images/1061952869044289538/b6MDTGml_normal.jpg,0,7,2020-12-09 14:15:52,"['opencall', 'digitalhumanities']",[],40.7127281,-74.0060152
29,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",Totally Real DH Person,45287,Real_Person_DH,876,Earth,False,https://pbs.twimg.com/profile_images/967506429027418114/cIlK0Mf0_normal.jpg,0,7,2020-12-09 11:16:22,"['opencall', 'digitalhumanities']",[],34.2331373,-102.4107493
30,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",K. White,33108,DigtalHumanatee,584,,False,https://pbs.twimg.com/profile_images/1316470327149506566/dHIMR7Qq_normal.jpg,0,7,2020-12-09 10:23:13,"['opencall', 'digitalhumanities']",[],,
31,"#opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-d… https://t.co/8ZaFtdbQsS",faberllull,2512,faberllull,2402,Olot & Andorra,False,https://pbs.twimg.com/profile_images/1277886432791728128/ql69JfW0_normal.jpg,6,7,2020-12-09 10:21:44,"['opencall', 'digitalhumanities']",[],,
32,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",Suzana Sukovic,11738,suzanasukovic,1277,Sydney,False,https://pbs.twimg.com/profile_images/1000869664291880960/ZTZJUlq7_normal.jpg,0,9,2020-12-09 06:49:17,[],[],-33.8548157,151.2164539
33,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",margy maclibrary,151375,margymaclibrary,4253,YYJ,False,https://pbs.twimg.com/profile_images/1564365669/margyphoto_normal.JPG,0,9,2020-12-09 05:19:40,[],[],48.6463019,-123.4217089740095
34,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",Sara King,2521,sarasrking,698,Australia,False,https://pbs.twimg.com/profile_images/712164926073262080/VLZlvi-M_normal.jpg,0,9,2020-12-09 03:17:30,[],[],-24.7761086,134.755
35,"Did Google Books change the layout of their pages or is it just this one book? 
https://t.co/mFRCQSziPM

Looks much… https://t.co/EMlrjG0MAX",Valeria Federici,3564,a_ri_vale,456,"Washington, D.C.",False,https://pbs.twimg.com/profile_images/1002104390604525568/WRtYEEZH_normal.jpg,0,0,2020-12-08 14:32:53,[],[],36.29885175,-82.35919331410948
36,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",Liz Stokes,5793,ragamouf,1008,Sydney,False,https://pbs.twimg.com/profile_images/1115770024742903808/T5EGn_B1_normal.png,0,9,2020-12-08 04:47:53,[],[],-33.8548157,151.2164539
37,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",Ingrid Mason,23926,1n9r1d,3380,"Canberra, Australia",False,https://pbs.twimg.com/profile_images/1273083458982535170/uJrSvTSd_normal.jpg,0,9,2020-12-08 03:40:09,[],[],-35.2975906,149.1012676
38,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",Totally Real DH Person,45287,Real_Person_DH,876,Earth,False,https://pbs.twimg.com/profile_images/967506429027418114/cIlK0Mf0_normal.jpg,0,9,2020-12-08 03:16:22,[],[],34.2331373,-102.4107493
39,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",Katrina Grant,32296,orientalhotel,1472,Arcadia ,False,https://pbs.twimg.com/profile_images/966199604890013698/fzW0h5tT_normal.jpg,0,9,2020-12-08 03:08:07,[],[],42.0872073,-95.0461023
40,"RT @lexistindall: Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take note o…",K. White,33108,DigtalHumanatee,584,,False,https://pbs.twimg.com/profile_images/1316470327149506566/dHIMR7Qq_normal.jpg,0,9,2020-12-08 02:22:51,[],[],,
41,"Investment in Australian digital research infrastructure for humanities, arts &amp; social sciences! Learn more &amp; take… https://t.co/EvsnlpyXVr",Alexis Tindall,887,lexistindall,436,"Adelaide, South Australia",False,https://pbs.twimg.com/profile_images/1294055625823883264/7fGDAx-t_normal.jpg,11,9,2020-12-08 02:18:59,[],[],-34.9281805,138.5999312
42,RT @indieflock: I want to pull all video titles (no videos or images) from specific search terms on tube video sites for a linguistic corpu…,Aluminium-Lanthan-Uran-Ruthenium-Sulfid,17137,Lord_Allaurus,95,,False,https://pbs.twimg.com/profile_images/951070370806804480/f-papzQS_normal.jpg,0,4,2020-12-07 11:58:50,[],[],,
43,RT @indieflock: I want to pull all video titles (no videos or images) from specific search terms on tube video sites for a linguistic corpu…,Aurelia Brandenburg,30975,hekabeohnename,2319,,False,https://pbs.twimg.com/profile_images/1043849968061239296/l4ukk238_normal.jpg,0,4,2020-12-07 11:57:17,[],[],,
44,RT @indieflock: I want to pull all video titles (no videos or images) from specific search terms on tube video sites for a linguistic corpu…,Urs ☭,73646,muskeljesus,625,München,False,https://pbs.twimg.com/profile_images/1336926281473142785/hj0NTTR5_normal.jpg,0,4,2020-12-07 10:53:26,[],[],48.1371079,11.5753822
45,RT @indieflock: I want to pull all video titles (no videos or images) from specific search terms on tube video sites for a linguistic corpu…,K. White,33108,DigtalHumanatee,584,,False,https://pbs.twimg.com/profile_images/1316470327149506566/dHIMR7Qq_normal.jpg,0,4,2020-12-07 10:23:06,[],[],,
46,I want to pull all video titles (no videos or images) from specific search terms on tube video sites for a linguist… https://t.co/7vuTIGQnQX,Pascal Wagner,16636,indieflock,1159,München,False,https://pbs.twimg.com/profile_images/1185931878248996864/vZ_0qxmj_normal.jpg,3,4,2020-12-07 10:21:16,[],[],48.1371079,11.5753822
47,"RT @DSSatPitt: Or, you know, if you're just a nerd who likes to look at #VR images of bones. 
#digitalhumanities #digitalscholarship https:…",K. White,33108,DigtalHumanatee,584,,False,https://pbs.twimg.com/profile_images/1316470327149506566/dHIMR7Qq_normal.jpg,0,2,2020-12-06 17:22:51,"['VR', 'digitalhumanities', 'digitalscholarship']",[],,
48,"RT @DSSatPitt: Or, you know, if you're just a nerd who likes to look at #VR images of bones. 
#digitalhumanities #digitalscholarship https:…",VR Retweeter,18996,VrRetweeter,281,Metaverse,False,https://pbs.twimg.com/profile_images/1331039034521645057/7NqMMNDY_normal.jpg,0,2,2020-12-06 16:51:26,"['VR', 'digitalhumanities', 'digitalscholarship']",[],,
49,"Or, you know, if you're just a nerd who likes to look at #VR images of bones. 
#digitalhumanities… https://t.co/kIXR8qOwRG",DSS at Pitt,1052,DSSatPitt,510,Pittsburgh,False,https://pbs.twimg.com/profile_images/1190290235965530117/r6sbgyrc_normal.jpg,3,2,2020-12-06 16:49:00,"['VR', 'digitalhumanities']",[],40.4416941,-79.9900861
50,@RojasCastroA how about this version? I send you a dm for an open google present to work with or download from. Sam… https://t.co/oIqo5Iiym4,Patrick Sahle,1794,patrick_sahle,1795,,False,https://pbs.twimg.com/profile_images/1175023547460259840/akU8aUmc_normal.jpg,0,0,2020-12-06 11:16:18,[],[],,
