Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
"RT @BIconadvisory: Future trends in #DataAnalytics
 https://t.co/RE8xn3s2W4 

#data #datascience #AI #ArtificialIntelligence #ML #BigData #…",jayeshthakur,149906,2267,::1,False,0,5,2020-12-06 13:53:07,"['DataAnalytics', 'data', 'datascience', 'AI', 'ArtificialIntelligence', 'ML', 'BigData']",[],,
RT @couchbase: We're proud to be a part of this initiative by @AWS and @Infosys to advance healthcare through #technology by using #datasci…,J Prashanth Joseph,987,110,Bangalore,False,0,27,2020-12-06 13:52:08,['technology'],[],,
"RT @Analytics_699: OLAP cubes for Advanced  Analytics▶️
#Analytics #BigData #AI #javascript #DataAnalytics #Rstats #Reactjs #IoT #IIoT #Lin…",The Secret Junior Developer,226992,1187,,False,0,41,2020-12-06 13:51:41,"['Analytics', 'BigData', 'AI', 'javascript', 'DataAnalytics', 'Rstats', 'Reactjs', 'IoT', 'IIoT']",[],,
"RT @VeronicaBlancoR: Data Science #skills in one picture 👩🏻‍💻🧑‍💻💡✨

RT @ingliguori | #DataScience #talent #DigitalTransformation #Cloud #Ma…",Cyber Security Feed,1210441,12416,Internet,False,0,113,2020-12-06 13:50:36,"['skills', 'DataScience', 'talent', 'DigitalTransformation', 'Cloud']",[],,
"RT @wissen_tech: How #ML and #AI can help in fraud detection in Financial Services.
Via @wissen_tech 
Visit: https://t.co/N7TZRmXse6

#BigD…",Procurement 2030,71647,4473,Amsterdam ,False,0,16,2020-12-06 13:50:35,"['ML', 'AI']",[],,
"RT @Ronald_vanLoon: DAX #MachineLearning Functionality Used By The Key Influencers Visual In Power BI
by @cwebb_bi

Read more https://t.co/…",S. S. Xman,447208,4661,"Benin-City, Nigeria",False,0,5,2020-12-06 13:49:55,['MachineLearning'],[],,
"RT @Veracitiz: The four V's of #BigData. - #Infographic 

#DataAnalytics #DataScience #Data #AI #MachineLearning #ArtificialIntelligence #M…",Procurement 2030,71647,4473,Amsterdam ,False,0,14,2020-12-06 13:49:09,"['BigData', 'Infographic', 'DataAnalytics', 'DataScience', 'Data', 'AI', 'MachineLearning', 'ArtificialIntelligence']",[],,
RT @couchbase: We're proud to be a part of this initiative by @AWS and @Infosys to advance healthcare through #technology by using #datasci…,Mark De Riz,166967,409,New York City,False,0,27,2020-12-06 13:48:38,['technology'],[],,
"RT @Veracitiz: 8 future trends in #DataAnalytics!
Read https://t.co/um7i1Fogk2 Via @CEO_AISOMA 

#data #datascience #AI #ArtificialIntellig…",Procurement 2030,71647,4473,Amsterdam ,False,0,47,2020-12-06 13:48:22,"['DataAnalytics', 'data', 'datascience', 'AI']",[],,
"RT @Analytics_699: OLAP cubes for Advanced  Analytics▶️
#Analytics #BigData #AI #javascript #DataAnalytics #Rstats #Reactjs #IoT #IIoT #Lin…",Faisal Akhtar ☁ 💻 📈,3055,137,"Accokeek, MD",False,0,41,2020-12-06 13:47:59,"['Analytics', 'BigData', 'AI', 'javascript', 'DataAnalytics', 'Rstats', 'Reactjs', 'IoT', 'IIoT']",[],,
