Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
"RT @SpirosMargaris: 5 #Free #Books 

to #Learn #Statistics for #DataScience 

https://t.co/HsyfRMeybz #fintech #BigData #AI #ArtificialInte…",Irene,698,12,,False,0,55,2020-12-06 17:47:32,"['Free', 'Books', 'Learn', 'Statistics', 'DataScience', 'fintech', 'BigData', 'AI']",[],,
"RT @Eli_Krumova: #Anatomy Education in #3D #AugmentedReality 🫀🫁🧠
🎦#Video

v/ @Analytics_699
#Analytics #AI #Rstats #MachineLearning #ML #Bi…",The Secret Junior Developer,226992,1187,,False,0,22,2020-12-06 17:46:51,"['Anatomy', '3D', 'AugmentedReality', 'Video', 'Analytics', 'AI', 'Rstats', 'MachineLearning', 'ML']",[],,
"RT @Eli_Krumova: #Anatomy Education in #3D #AugmentedReality 🫀🫁🧠
🎦 #Video

v/ @Analytics_699
#Analytics #AI #Rstats #MachineLearning #ML #B…",The Secret Junior Developer,226992,1187,,False,0,18,2020-12-06 17:46:51,"['Anatomy', '3D', 'AugmentedReality', 'Video', 'Analytics', 'AI', 'Rstats', 'MachineLearning', 'ML']",[],,
"RT @Eli_Krumova: #Anatomy Education in #3D #AugmentedReality 🫀🫁🧠
🎦#Video

v/ @Analytics_699
#Analytics #AI #Rstats #MachineLearning #ML #Bi…",The Secret Junior Developer,226992,1187,,False,0,22,2020-12-06 17:46:51,"['Anatomy', '3D', 'AugmentedReality', 'Video', 'Analytics', 'AI', 'Rstats', 'MachineLearning', 'ML']",[],,
"RT @Eli_Krumova: #Anatomy Education in #3D #AugmentedReality 🫀🫁🧠
🎦 #Video

v/ @Analytics_699
#Analytics #AI #Rstats #MachineLearning #ML #B…",Maac,6401,5601,,False,0,18,2020-12-06 17:46:16,"['Anatomy', '3D', 'AugmentedReality', 'Video', 'Analytics', 'AI', 'Rstats', 'MachineLearning', 'ML']",[],,
"RT @Eli_Krumova: Cutting #Edge With #IoT #EdgeComputing
➡️https://t.co/PDbY2Cy4yk

#Analytics #IoT #IIoT #IoTPL #AI #ML #MachineLearning #S…",Maac,6401,5601,,False,0,3,2020-12-06 17:46:09,"['Edge', 'IoT', 'EdgeComputing', 'Analytics', 'IoT', 'IIoT', 'IoTPL', 'AI', 'ML', 'MachineLearning']",[],,
"RT @Eli_Krumova: #Anatomy Education in #3D #AugmentedReality 🫀🫁🧠
🎦#Video

v/ @Analytics_699
#Analytics #AI #Rstats #MachineLearning #ML #Bi…",Andrew Morris,472315,12206,Bedford,False,0,22,2020-12-06 17:43:58,"['Anatomy', '3D', 'AugmentedReality', 'Video', 'Analytics', 'AI', 'Rstats', 'MachineLearning', 'ML']",[],,
"RT @Eli_Krumova: 📌Inside #DataScientist's ToolBox🧰: Top 9 #DataScience #Algorithms
⬇️
https://t.co/PSkkAkus1M
v/ @DataFlairWS @ruben_arce_s…",Rubén Arce Santolaya,4782,2071,,False,0,18,2020-12-06 17:43:57,"['DataScientist', 'DataScience', 'Algorithms']",[],,
"RT @Eli_Krumova: #Anatomy Education in #3D #AugmentedReality 🫀🫁🧠
🎦#Video

v/ @Analytics_699
#Analytics #AI #Rstats #MachineLearning #ML #Bi…",Maac,6401,5601,,False,0,22,2020-12-06 17:43:36,"['Anatomy', '3D', 'AugmentedReality', 'Video', 'Analytics', 'AI', 'Rstats', 'MachineLearning', 'ML']",[],,
"RT @Analytics_699: Now learn any subject Holographically▶️
#Analytics #AI #AR #VR #MR #Rstats #Reactjs #IoT #IIoT #Linux #Serverless #DEVCo…",AltF4 Bot,41074,391,CPU,False,0,205,2020-12-06 17:43:01,"['Analytics', 'AI', 'AR', 'VR', 'MR', 'Rstats', 'Reactjs', 'IoT', 'IIoT', 'Linux', 'Serverless']",[],,
