Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
RT @jucktion: MATLAB For People in Hurry ($19.99 to Free) #matlab #ArtificialIntelligence #blockchain #JavaScript #ML #100DaysOfCode #BigDa…,Jessica shoonover,186705,1574,bootcamp,False,0,5,2020-12-07 00:54:29,"['matlab', 'ArtificialIntelligence', 'blockchain', 'JavaScript', 'ML', '100DaysOfCode']",[],,
RT @jucktion: MATLAB For People in Hurry ($19.99 to Free) #matlab #ArtificialIntelligence #blockchain #JavaScript #ML #100DaysOfCode #BigDa…,Serverless Fan,290961,3383,Sri Lanka,False,0,5,2020-12-07 00:54:28,"['matlab', 'ArtificialIntelligence', 'blockchain', 'JavaScript', 'ML', '100DaysOfCode']",[],,
MATLAB For People in Hurry ($19.99 to Free) #matlab #ArtificialIntelligence #blockchain #JavaScript #ML… https://t.co/Gf6rvruGth,The Jucktion,92407,8103,Banepa,False,1,5,2020-12-07 00:54:23,"['matlab', 'ArtificialIntelligence', 'blockchain', 'JavaScript', 'ML']",[],,
"RT @Udemy_Coupons1: Learn How to Play the Guitar – The Beginners Guide | 100%OFF https://t.co/HM9VVLgONs

#MachineLearning #BigData #Analyt…",Developer Highlights,55754,9456,,False,0,31,2020-12-07 00:54:11,"['MachineLearning', 'BigData']",[],,
"RT @Eli_Krumova: Pseudo Labelling: Guide To Semi-Supervised Learning
👇🏽
https://t.co/BeaxCmCLrt
@gp_pulipaka

#BigData #Analytics #DataScie…",Curious Luke,261516,5670,Switzerland,False,0,31,2020-12-07 00:54:04,"['BigData', 'Analytics']",[],,
"RT @Eli_Krumova: Pseudo Labelling: Guide To Semi-Supervised Learning
👇🏽
https://t.co/BeaxCmCLrt
@gp_pulipaka

#BigData #Analytics #DataScie…",Raymond460,27834,147,"El Monte, CA ",False,0,31,2020-12-07 00:53:57,"['BigData', 'Analytics']",[],,
"RT @Eli_Krumova: #Mathematical Frontiers of #InMemoryComputing #HPC
👇🏽
https://t.co/Vkmy59C9P9
With @gp_pulipaka
Sponsored by @gridgain

#B…",Raymond460,27834,147,"El Monte, CA ",False,0,10,2020-12-07 00:53:49,"['Mathematical', 'InMemoryComputing', 'HPC']",[],,
"RT @Eli_Krumova: 🔝 25 Best #MachineLearning #Books to Read📚🎯
👇🏽
https://t.co/q1LuLaneM3
v @gp_pulipaka

#AI #ML #DL #BigData #Analytics #Da…",Jessica shoonover,186705,1574,bootcamp,False,0,25,2020-12-07 00:53:49,"['MachineLearning', 'Books', 'AI', 'ML', 'DL', 'BigData', 'Analytics']",[],,
"RT @Eli_Krumova: 🔝 25 Best #MachineLearning #Books to Read📚🎯
👇🏽
https://t.co/q1LuLaneM3
v @gp_pulipaka

#AI #ML #DL #BigData #Analytics #Da…",Raymond460,27834,147,"El Monte, CA ",False,0,25,2020-12-07 00:53:46,"['MachineLearning', 'Books', 'AI', 'ML', 'DL', 'BigData', 'Analytics']",[],,
"RT @Eli_Krumova: #Top20 Best #DataScience #Books 📚🎯
👇🏽
https://t.co/4jm96pI2Ka
Via @gp_pulipaka

#BigData #Analytics #DataScience #IoT #IIo…",#30DaysOfCode,73388,357,,False,0,17,2020-12-07 00:53:43,"['Top20', 'DataScience', 'Books', 'BigData', 'Analytics', 'DataScience', 'IoT']",[],,
"RT @Eli_Krumova: #Data Preparation for #Python Processing
⬇️
https://t.co/A4R0LmBJI9
v/ @gp_pulipaka

#BigData #Analytics #DataScience #AI…",#30DaysOfCode,73388,357,,False,0,25,2020-12-07 00:53:43,"['Data', 'Python', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
"RT @Udemy_Coupons1: Learn How to Play the Guitar – The Beginners Guide | 100%OFF https://t.co/HM9VVLgONs

#MachineLearning #BigData #Analyt…",#30DaysOfCode,73388,357,,False,0,31,2020-12-07 00:53:43,"['MachineLearning', 'BigData']",[],,
"RT @thinksureindia: RT: @gp_pulipaka

A Complete Introduction To Time Series Analysis (with R): #BigData #Analytics #DataScience #AI #Machi…",React Developer,221117,6677,Everywhere,False,0,17,2020-12-07 00:53:26,"['BigData', 'Analytics', 'DataScience', 'AI']",[],,
RT @EdKwedar: 8 Best Free Resources To Learn Deep #ReinforcementLearning Using #TensorFlow | #BigData #Analytics #DataScience #AI #MachineL…,React Developer,221117,6677,Everywhere,False,0,29,2020-12-07 00:53:26,"['ReinforcementLearning', 'TensorFlow', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
