name,area,century,nationality
Arthur Henry Neumann,Africa,19th,English
Gennady Nevelskoy,Sakhalin,19th,Russian
Jean Nicolet,Northwest Territory (United States),17th,French
Joseph Nicollet,Mississippi and Missouri Rivers,19th,French
Joseph Nicollet,Mississippi and Missouri Rivers,19th,American
Afanasiy Nikitin,India,15th,Russian
António Noli,Cape Verde islands,15th,Portuguese
Adolf Erik Nordenskiöld,Arctic,19th,Finnish
Tenzing Norgay,Mount Everest,20th,Nepalese
Fernão de Noronha,Atlantic Ocean,15th,Portuguese
Fernão de Noronha,Atlantic Ocean,16th,Portuguese
João da Nova,Atlantic and Indian Oceans,16th,Galician
João da Nova,Atlantic and Indian Oceans,16th,Portuguese
Paulo Dias de Novais,Angola,16th,Portuguese
Kazimierz Nowak,Africa,20th,Polish
Vanessa O'Brien,Mountaineering and Challenger Deep in Marianas Trench,20th,American
Vanessa O'Brien,Mountaineering and Challenger Deep in Marianas Trench,20th,British
Vanessa O'Brien,Mountaineering and Challenger Deep in Marianas Trench,21st,American
Vanessa O'Brien,Mountaineering and Challenger Deep in Marianas Trench,21st,British
Sebastián de Ocampo,"Caribbean, Gulf of Mexico",16th,Spanish
Odoric of Pordenone,"Persia, India and China",14th,Italian
Peter Skene Ogden,"Snake River country, Western United States",19th,Canadian
Alonso de Ojeda,"South America (north), Caribbean",15th,Spanish
Alonso de Ojeda,"South America (north), Caribbean",16th,Spanish
Juan de Oñate,American Southwest,16th,Spanish
Francisco de Orellana,"South America, Amazon River",16th,Spanish
Simone Orlandini,"Arctic, Tibet",21st,Italian
Íñigo Órtiz de Retes,Papua New Guinea,16th,Spanish
John Oxenham,"Panama, Pacific Ocean",16th,English
John Oxley,Australia[9],19th,English
Pedro Páez,Ethiopia,16th,Spanish
Pedro Páez,Ethiopia,17th,Spanish
Juan Pardo,Southeastern United States,16th,Spanish
Mungo Park,West Africa (Niger River),18th,Scottish
Mungo Park,West Africa (Niger River),19th,Scottish
William Parry,Arctic,19th,English
James Ohio Pattie,Western United States,19th,American
Fiann Paul,"Arctic, Antarctic, Oceans",21st,Icel
Fiann Paul,"Arctic, Antarctic, Oceans",21st,ic
Nathaniel Pearce,Ethiopia,19th,English
Robert Peary,Arctic,19th,American
Robert Peary,Arctic,20th,American
Paul Pelliot,central Asia,19th,French
Paul Pelliot,central Asia,20th,French
Diogo Fernandes Pereira,"Madagascar, Mascarenes (Réunion, Mauritius, and Rodrigues)",15th,Portuguese
Diogo Fernandes Pereira,"Madagascar, Mascarenes (Réunion, Mauritius, and Rodrigues)",16th,Portuguese
Duarte Pacheco Pereira,"Atlantic Ocean, Brazil",15th,Portuguese
Bartolomeu Perestrelo,Madeira Islands,15th,Portuguese
Juan Pérez,Pacific Northwest,18th,Spanish
Maksim Perfilyev,"Eastern Siberia, first Russian to reach Transbaikalia",17th,Siberian
Maksim Perfilyev,"Eastern Siberia, first Russian to reach Transbaikalia",17th,Cossack
Ivan Petlin,First Russian to reach China,17th,Siberian
Ivan Petlin,First Russian to reach China,17th,Cossack
Auguste Piccard,"Earth's atmosphere, the deep sea",20th,Swiss
Jacques Piccard,the deep sea,20th,Swiss
Antonio Pigafetta,Survived the 1st circumnavigation of the world,16th,Italian
Antonio Pigafetta,Survived the 1st circumnavigation of the world,16th,Venetian
Zebulon Pike,Louisiana Purchase (United States),19th,American
Alonso Alvarez de Pineda,Gulf Coast,16th,Spanish
Fernão Mendes Pinto,"India, Far East, Japan",16th,Portuguese
Serpa Pinto,Southern Africa,19th,Portuguese
Martin Alonzo Pinzón,Caribbean,15th,Spanish
Vicente Yáñez Pinzón,"Caribbean, Brazil",15th,Spanish
Vicente Yáñez Pinzón,"Caribbean, Brazil",16th,Spanish
Luís Pires,abortive voyage to Brazil,15th,Portuguese
Francisco Pizarro,"Hispaniola, Panama, Peru",16th,Spanish
Fernão do Pó,West African coast,15th,Portuguese
Marco Polo,"China, Mongol Empire, India",13th,Italian
Marco Polo,"China, Mongol Empire, India",13th,Venetian
Marco Polo,"China, Mongol Empire, India",14th,Italian
Marco Polo,"China, Mongol Empire, India",14th,Venetian
Juan Ponce de León,Florida,15th,Spanish
Juan Ponce de León,Florida,16th,Spanish
Peter Pond,Canadian interior,18th,American
Peter Pond,Canadian interior,19th,American
Fedot Popov,The first European expedition through the Bering Strait,17th,Russian
António da Silva Porto,Angola interior,19th,Portuguese
Gaspar de Portolà,Alta and Baja California,18th,Spanish
Posidonius,Gaul,1st BC,Greek
Sydney Possuelo,Amazon,20th,Brazilian
Sydney Possuelo,Amazon,21st,Brazilian
Panayotis Potagos,Africa,19th,Greek
Grigory Potanin,Inner Asia,19th,Russian
John Wesley Powell,Western United States,19th,American
Vassili Poyarkov,First Russian explorer of the Amur region,17th,Russian
Mandil Pradhan,Himalayas,21st,Nepalese
Gavriil Pribylov,Pribilof Islands,18th,Russian
Vasili Pronchishchev,Great Northern Expedition,18th,Russian
Maria Pronchishcheva,The first female Arctic explorer,18th,Russian
Nathaniel Hale Pryor,western United States,19th,American
Nikolai Przhevalsky,Central Asia,19th,Russian
Peter Puget,Puget Sound,19th,English
Pytheas,Northern Europe,4th BC,Greek
Zhang Qian,Central Asia,2nd BC,Chinese
Pedro Fernandes de Queirós,Oceania,16th,Portuguese
Pedro Fernandes de Queirós,Oceania,17th,Portuguese
Gonzalo Jiménez de Quesada,From Santa Marta to the Bogotá savanna; quest for El Dorado,16th,Spanish
Hernán Pérez de Quesada,"Caquetá, Colombia; quest for El Dorado",16th,Spanish
Manuel Quimper,Pacific Northwest,18th,Spanish
Emil Racoviță,Antarctica,19th,Romanian
Emil Racoviță,Antarctica,20th,Romanian
John Rae,"Northwest Passage, Canadian Arctic",19th,Scottish
John Rae,"Northwest Passage, Canadian Arctic",19th,Canadian
Sir Walter Raleigh,"Virginia, Orinoco River",16th,English
Sir Walter Raleigh,"Virginia, Orinoco River",17th,English
Knud Rasmussen,Arctic,20th,Danish
Piri Reis,Mediterranean Sea,15th,Turkish
Piri Reis,Mediterranean Sea,16th,Turkish
Matteo Ricci,China,16th,Italian
Mario Rigby,Africa,21st,Turks
Mario Rigby,Africa,21st,Caicos
Mario Rigby,Africa,21st,Isl
Mario Rigby,Africa,21st,er
Arthur Rimbaud,Horn of Africa (Abyssinia),19th,French
Luigi Robecchi,Africa,19th,Italian
Anthony de la Roché,Antarctic (South Georgia),17th,English
Diogo Rodrigues,Mascarene Islands,16th,Portuguese
Nicholas Roerich,"Central Asia, Northeast Asia",20th,Russian
Jacob Roggeveen,South Pacific (Easter Island),18th,Dutch
Cândido Rondon,Brazilian interior (Amazon Basin),19th,Brazilian
Cândido Rondon,Brazilian interior (Amazon Basin),20th,Brazilian
James Clark Ross,"Arctic, Antarctic",19th,English
Sir John Ross,Arctic,19th,Scottish
John Ross,Northern Territory,19th,Scottish
John Ross,Northern Territory,19th,Australian
William of Rubruck,Central Asia,13th,Flemish
Nikolay Rudanovsky,Sakhalin,19th,Russian
Henry Russell,Pyrenees,19th,Irish
Ahmad ibn Rustah,"Russia, Scandinavia, Arabia",10th,Persian
João de Sá,"India, African coast",15th,Portuguese
João de Sá,"India, African coast",16th,Portuguese
Álvaro de Saavedra,"Papua New Guinea, Caroline Islands, Marshall Islands",16th,Spanish
Edward Sabine,Arctic,19th,Irish
Sacagawea,Western United States,18th,Lemhi
Sacagawea,Western United States,18th,Shoshone
Sacagawea,Western United States,19th,Lemhi
Sacagawea,Western United States,19th,Shoshone
Anatoly Sagalevich,"Explorer of the World Ocean, seabed at the North Pole",20th,Russian
Anatoly Sagalevich,"Explorer of the World Ocean, seabed at the North Pole",21st,Russian
Kira Salak,"Papua New Guinea, Mali, Bhutan",20th,American
Kira Salak,"Papua New Guinea, Mali, Bhutan",21st,American
Alonso de Salazar,"Marshall Islands, Pacific Ocean",16th,Spanish
Gadiel Sánchez Rivera,"Amazon, Lake Titicaca",21st,Peruvian
Sándor Kőrösi Csoma,Tibet,19th,Hungarian
Yakov Sannikov,New Siberian Islands,19th,Russian
João de Santarém,São Tomé and Príncipe islands,15th,Portuguese
Gavril Sarychev,"Sea of Okhotsk, Baltic Sea, Aleutian Islands",18th,Russian
Gavril Sarychev,"Sea of Okhotsk, Baltic Sea, Aleutian Islands",19th,Russian
Martin Sauer,"Siberia, Alaska",18th,English
Rabban Bar Sauma,"Europe, Middle East",13th,Turco
Rabban Bar Sauma,"Europe, Middle East",13th,Mongol
Johann Schiltberger,Central Asia,15th,German
Adolf Schlagintweit,Central Asia,19th,German
Eduard Schlagintweit,Central Asia,19th,German
Emil Schlagintweit,Central Asia,19th,German
Hermann Schlagintweit,Central Asia,19th,German
Robert Schlagintweit,Central Asia,19th,German
Ulrich Schmidl,Río de la Plata,16th,German
Willem Schouten,"South Pacific (Cape Horn, Tonga Islands, Wallis and Futuna)",17th,Dutch
Georg August Schweinfurth,East and Central Africa,19th,Baltic
Georg August Schweinfurth,East and Central Africa,19th,German
Robert Falcon Scott,Antarctica (South Pole),19th,English
Robert Falcon Scott,Antarctica (South Pole),20th,English
Scylax of Caryanda,"Indus River, Indian Ocean, Red Sea",6th BC,Greek
Tibor Sekelj,Argentina,20th,Croat
Mirko and Stjepan Seljan,"Ethiopia, South America",20th,Croat
Frederick Courtney Selous,Africa,19th,English
Symon Semeonis,"Jerusalem, Albania",14th,Hiberno
Symon Semeonis,"Jerusalem, Albania",14th,Norman
Gomes de Sequeira,"Caroline Islands, Pacific Ocean",16th,Portuguese
João Serrão,"1st Circumnavigation (also later its co-captain general); commanded the ship Santiago in the Atlantic and the Concepcion across the Pacific, Strait of Malacca, Indian Ocean",15th,Portuguese
João Serrão,"1st Circumnavigation (also later its co-captain general); commanded the ship Santiago in the Atlantic and the Concepcion across the Pacific, Strait of Malacca, Indian Ocean",16th,Portuguese
Francisco Serrão,Indonesia,15th,Portuguese
Francisco Serrão,Indonesia,16th,Portuguese
Ernest Shackleton,Antarctica,20th,English
Ernest Shackleton,Antarctica,20th,Irish
Robert Barkley Shaw,Central Asia,19th,English
Eric Shipton,"Mount Everest, southern Patagonia",20th,English
Tanaka Shōsuke,Mexico,17th,Japanese
Diogo Silves,Azores,15th,Portuguese
James Simpson,North Greenland,20th,English
Pêro de Sintra,"West African coast, Sierra Leone",15th,Portuguese
Pierre-Jean De Smet,North America,19th,Belgian
Jedediah Smith,"Western United States, Rocky Mountains",19th,American
John Smith,North America,17th,English
William Smith,South Shetland Islands,19th,English
Eugene Smurgis,Arctic Ocean,20th,Russian
J. Dewey Soper,Canadian Arctic,20th,Canadian
Hernando de Soto,"Central America, Southern United States",16th,Spanish
Martim Afonso de Sousa,Brazilian interior,16th,Portuguese
John Hanning Speke,East Africa,19th,English
Hans Staden,Brazil,16th,German
Ed Stafford,Amazon,21st,English
William Grant Stairs,Central Africa,19th,Canadian
Henry Morton Stanley,East Africa,19th,Welsh
Vilhjalmur Stefansson,Canadian Arctic,20th,Icel
Vilhjalmur Stefansson,Canadian Arctic,20th,ic
Vilhjalmur Stefansson,Canadian Arctic,20th,Canadian
Marc Aurel Stein,Central Asia,19th,Hungarian
Marc Aurel Stein,Central Asia,19th,British
Marc Aurel Stein,Central Asia,20th,Hungarian
Marc Aurel Stein,Central Asia,20th,British
John Lloyd Stephens,"Middle East, Mesoamerica (Mayan remains)",19th,American
Paweł Strzelecki[10],"the Americas, Australia (Gippsland)",19th,Polish
Paweł Strzelecki[10],"the Americas, Australia (Gippsland)",19th,British
John McDouall Stuart,Australian Interior,19th,Scottish
Charles Sturt,Australian Interior,19th,British
Gardar Svavarsson,Iceland,9th,Swedish
Anders Svedlund,Oceans,20th,Swedish
Otto Sverdrup,Arctic,19th,Norwegian
Otto Sverdrup,Arctic,20th,Norwegian
Ignacije Szentmartony,Amazon River,18th,Croat
Abel Tasman,"Australasia, including Tasmania",17th,Dutch
António Raposo Tavares,"Paraguay River, part of the Andes mountain range, Grande River, Mamoré River, Madeira River, Amazon River  (Brazil, Paraguay, Bolivia) Union of La Plata Basin to the Amazon River - circumnavigation of Brazil.",17th,Portuguese
Jean-Baptiste Tavernier,"Persia, India",17th,French
Mikhail Tebenkov,"Alaska, Aleutian Islands, Amur River",19th,Russian
Pedro Teixeira,Amazon River,17th,Portuguese
Tristão Vaz Teixeira,Madeira Islands,15th,Portuguese
Wilfred Thesiger,"Africa, Middle East",20th,English
David Thompson,"Western Canada, Pacific Northwest",18th,Welsh
David Thompson,"Western Canada, Pacific Northwest",18th,English
David Thompson,"Western Canada, Pacific Northwest",19th,Welsh
David Thompson,"Western Canada, Pacific Northwest",19th,English
Guðríður Þorbjarnardóttir,North America,11th,Icel
Guðríður Þorbjarnardóttir,North America,11th,ic
Harold William Tilman,"Himalayas, Patagonia",20th,English
Yermak Timofeyevich,Siberia,16th,Russian
Gherman Titov,First person to orbit the Earth multiple times,20th,Russian
Tenjiku Tokubei,"South East Asia, India",17th,Japanese
Eduard Toll,Arctic,19th,Baltic
Eduard Toll,Arctic,19th,German
Luis Váez de Torres,Australasia,16th,Spanish
Luis Váez de Torres,Australasia,16th,Galician
Luis Váez de Torres,Australasia,17th,Spanish
Luis Váez de Torres,Australasia,17th,Galician
Nuno Tristão,"West African coast, Guinea-Bissau",15th,Portuguese
Petrus Johannes Truter,Bechuanaland,19th,Dutch
Hasekura Tsunenaga,"Mexico, Europe",17th,Japanese
Benjamin of Tudela,"Mediterranean Sea, Arabian Peninsula, Red Sea, Persian Gulf",12th,Jewish
Benjamin of Tudela,"Mediterranean Sea, Arabian Peninsula, Red Sea, Persian Gulf",12th,Navarrese
Andrés de Urdaneta,"Pacific Ocean, Manila Galleon route",16th,Spanish
Jules Dumont d'Urville,Antarctica,19th,French
Cayetano Valdés y Flores,Pacific Northwest,18th,Spanish
George Vancouver,Pacific coast of North America[12],18th,English
Ludovico di Varthema,"Arabian Peninsula, Indian Ocean, Southeast Asia",15th,Italian
Ludovico di Varthema,"Arabian Peninsula, Indian Ocean, Southeast Asia",16th,Italian
Gonçalo Velho,Azores,15th,Portuguese
François de La Vérendrye,Western Canada,18th,French
François de La Vérendrye,Western Canada,18th,Canadian
Louis-Joseph Gaultier de La Vérendrye,Great Plains,18th,French
Louis-Joseph Gaultier de La Vérendrye,Great Plains,18th,Canadian
"Pierre Gaultier de Varennes, sieur de La Vérendrye",Great Plains,18th,French
Giovanni da Verrazzano,East Coast of the United States,16th,Italian
Amerigo Vespucci,"Eastern South American coast, Caribbean",15th,Italian
Amerigo Vespucci,"Eastern South American coast, Caribbean",16th,Italian
Flóki Vilgerðarson,Iceland,9th,Norse
Flóki Vilgerðarson,Iceland,9th,Viking
Ruy López de Villalobos,"Pacific Ocean, Philippines",16th,Spanish
Vandino and Ugolino Vivaldi,"Africa, in a failed attempt to reach India",13th,Italian
Sebastián Vizcaíno,"Northwest Pacific, California Coast",16th,Spanish
Willem de Vlamingh,Southwest Australian coast,17th,Dutch
Maarten Gerritsz Vries,"Northwest Pacific (Hokkaido, Sakhalin)",17th,Dutch
Lionel Wafer,"Malay Archipelago, Isthmus of Panama",17th,Welsh
Jean-Frédéric Waldeck,Mesoamerica (Mayan remains),19th,French
Thomas Walker,Eastern United States[13],18th,American
Gino Watkins,East Greenland & Labrador,20th,English
Langdon Warner,the Silk Road,20th,American
Alfred Wegener,Greenland,20th,German
John White,Roanoke Island,15th,English
Jim Whittaker,"Mount Everest, Antarctica",20th,American
Frederick Whymper,"Alaska, Kamchatka, Yukon",19th,English
Charles Wilkes,Pacific Ocean,19th,American
Edward Adrian Wilson,Antarctica,19th,English
Edward Adrian Wilson,Antarctica,20th,English
Ernest Henry Wilson,"East Asia, East Africa, Central and South America, Australia, New Zealand",19th,English
Ernest Henry Wilson,"East Asia, East Africa, Central and South America, Australia, New Zealand",20th,English
James Wilson,Pacific Islands,18th,British
Thomas Braidwood Wilson,Australia,19th,Scottish
Thomas Braidwood Wilson,Australia,19th,Australian
Harry de Windt,Eurasia,19th,French
Harry de Windt,Eurasia,20th,French
Fanny Bullock Workman,Himalaya,19th,American
Fanny Bullock Workman,Himalaya,20th,American
Ferdinand von Wrangel,Northern Russia,19th,Baltic
Ferdinand von Wrangel,Northern Russia,19th,German
Xuanzang,"Indian subcontinent, Central Asia",7th,Chinese
John Young,Hawaii,18th,Scottish
John Young,Hawaii,18th,English
Sir Francis Younghusband,Central Asia,19th,British
Sir Francis Younghusband,Central Asia,20th,British
João Gonçalves Zarco,Madeira Islands,15th,Portuguese
Gonzalo García Zorro,Colombia,16th,Spanish
