name,area,century,nationality
Bungaree,Australian coasts,18th,Aboriginal
Bungaree,Australian coasts,18th,Australian
Bungaree,Australian coasts,19th,Aboriginal
Bungaree,Australian coasts,19th,Australian
Lafayette Bunnell,Yosemite Valley,19th,American
Johann Ludwig Burckhardt,"Middle East, Sudan",19th,Swiss
Robert O'Hara Burke,Australia,19th,Irish
Frederick Russell Burnham,"Africa, Mexico",19th,American
Frederick Russell Burnham,"Africa, Mexico",20th,American
Richard Francis Burton,East Africa,19th,English
Thomas Button,Northwest Passage,17th,Welsh
José de Bustamante y Guerra,Pacific Ocean,18th,Spanish
Richard E. Byrd,"North Pole, Antarctica",20th,American
Álvar Núñez Cabeza de Vaca,"Southwestern United States, Mexico, Argentina",16th,Spanish
John Cabot[4],North American mainland (Canada),15th,Italian
Sebastian Cabot,"Northwest Passage (Canada), Río de la Plata, Paraná River (South America)",15th,Italian
João Cabral,Bhutan & Nepal,16th,Portuguese
Pedro Álvares Cabral,"Brazil, Madagascar",15th,Portuguese
Pedro Álvares Cabral,"Brazil, Madagascar",16th,Portuguese
Juan Rodríguez Cabrillo,California,16th,Portuguese
Estêvão Cacella,Himalayas,16th,Portuguese
Alvise Cadamosto,Cape Verde islands,15th,Italian
Antoine de la Mothe Cadillac,North America,18th,French
René Caillié,North Africa,19th,French
Álvaro Caminha,São Tomé and Príncipe islands,15th,Portuguese
Pêro Vaz de Caminha,Brazil,15th,Portuguese
Alberto del Canto,Northwestern Mexico,15th,Portuguese
Alberto del Canto,Northwestern Mexico,16th,Portuguese
Diogo Cão,west coast of Africa (including the Congo River),15th,Portuguese
Hermenegildo de Brito Capelo,African continent,19th,Portuguese
John Carpini,"Central Asia, Mongolia",13th,Italian
Juan Carrasco,Pacific Northwest,18th,Spanish
Kit Carson,"Rocky Mountains, California, Oregon, Great Basin",19th,American
Jan Carstensz,"New Guinea coast, Gulf of Carpentaria",17th,Dutch
Jacques Cartier,St. Lawrence River,16th,French
João de Castro,"India, Arabian Peninsula & Red Sea",15th,Portuguese
René-Robert Cavelier de La Salle,Mississippi embayment,17th,French
Thomas Cavendish,"Virginia, Pacific coast of Central and South America",16th,English
Merieme Chadid,"Antarctica, South America, Asia, Astronomer",20th,Moroccan
Merieme Chadid,"Antarctica, South America, Asia, Astronomer",20th,French
Merieme Chadid,"Antarctica, South America, Asia, Astronomer",21st,Moroccan
Merieme Chadid,"Antarctica, South America, Asia, Astronomer",21st,French
Paul Du Chaillu,Africa,19th,French
Harriet Chalmers Adams,"South America, Asia, South Pacific",19th,American
Harriet Chalmers Adams,"South America, Asia, South Pacific",20th,American
Samuel de Champlain,"Quebec, Great Lakes",16th,French
Samuel de Champlain,"Quebec, Great Lakes",17th,French
Chang Chun,"Central Asia, Mongolia",13th,Chinese
Jean Chardin,"Persia, India",17th,French
Semion Chelyuskin,Great Northern Expedition,18th,Russian
