,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,User_lat,User_lng
48,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Rebecca Lambert: Punk As F***😊,90282,5056,An Archaeological Rabbit Hole,False,0,54,2020-10-07 20:19:40,51.2003187,1.1653792
49,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Anna,4938,131,,False,0,54,2020-10-07 19:17:38,,
50,RT @museweb: Don’t miss your chance to be published! The deadline to submit an #MW21 Conference proposal has been extended to October 9. Yo…,Heather,906,396,,False,0,4,2020-10-07 18:47:58,,
51,"RT @inklessEditions: According to the description of Nicholas' room in The Miller's Tale, how much do you think student's rooms have change…",K. White,30765,532,,False,0,1,2020-10-07 18:22:51,,
52,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Àlex,38431,1834,,False,0,54,2020-10-07 17:48:11,,
53,"According to the description of Nicholas' room in The Miller's Tale, how much do you think student's rooms have cha… https://t.co/ub7jvZzjST",Inkless Editions,133,158,,False,1,1,2020-10-07 17:40:07,,
54,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Isabel Boj Cullell,1877,86,Barcelona,False,0,54,2020-10-07 17:35:34,41.3828939,2.1774322
55,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Tom Chadwin,19953,1471,Northumberland,False,0,54,2020-10-07 16:37:57,55.25,-2.000559
56,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Mireia Comas Via🎗️,1798,1036,Barcelona-Catalunya,False,0,54,2020-10-07 16:27:52,41.3828939,2.1774322
57,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Farah Sheikh Garcia,211,15,"Barcelona, España",False,0,54,2020-10-07 16:14:36,41.3828939,2.1774322
58,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Núria Jornet,4789,1143,,False,0,54,2020-10-07 16:04:11,,
59,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Sebastian Hageneuer,767,378,"Bonn, Deutschland",False,0,54,2020-10-07 15:57:06,50.735851,7.10066
60,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Pgogy WebStuff,15513,1053,All Updates from Pgogy,False,0,54,2020-10-07 15:48:50,,
