Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
"RT @SpirosMargaris: 5 #Free #Books 

to #Learn #Statistics for #DataScience 

https://t.co/HsyfRMeybz #fintech #BigData #AI #ArtificialInte…",DataScienceRush,7712,213,"London, UK",False,0,55,2020-12-06 19:29:00,"['Free', 'Books', 'Learn', 'Statistics', 'DataScience', 'fintech', 'BigData', 'AI']",[],,
"RT @SpirosMargaris: 5 #Free #Books 

to #Learn #Statistics for #DataScience 

https://t.co/HsyfRMeybz #fintech #BigData #AI #ArtificialInte…",Stn,623,182,,False,0,55,2020-12-06 19:28:55,"['Free', 'Books', 'Learn', 'Statistics', 'DataScience', 'fintech', 'BigData', 'AI']",[],,
"RT @KirkDBorne: Thank you @Eli_Krumova for sharing this. 🙏
————
#IoT #IoTPL #IIoT #AI #Edge #BigData #DataScience #MachineLearning #ODSC @O…",DataScienceRush,7712,213,"London, UK",False,0,4,2020-12-06 19:28:54,"['IoT', 'IoTPL', 'IIoT', 'AI', 'Edge', 'BigData', 'DataScience', 'MachineLearning', 'ODSC']",[],,
"RT @Eli_Krumova: #DeepLearning with #PyTorch: #Deploying 1st #NeuralNetwork 👨🏽‍💻🔰
⬇️
https://t.co/Ok7SNpsxKJ
v/ @SourabhSKatoch

#DL #Machi…",Franck De Oliveira ©️,37578,1002,Lyon / Paris / France ,False,0,31,2020-12-06 19:28:37,"['DeepLearning', 'PyTorch', 'Deploying', 'NeuralNetwork', 'DL']",[],,
RT @Ronald_vanLoon: Webcast:  How to Advance #Resilience and Agility with #AI-Enabled Business Processes by Ronald van Loon |  #SAPPartner…,HubOfML,293394,6751,Germany ,False,0,109,2020-12-06 19:28:35,"['Resilience', 'AI', 'SAPPartner']",[],,
RT @Ronald_vanLoon: Webcast:  How to Advance #Resilience and Agility with #AI-Enabled Business Processes by Ronald van Loon |  #SAPPartner…,Valentino Zocca 🇮🇹 🇪🇺,3363,2009,New York/Milano/Roma/D.C.,False,0,109,2020-12-06 19:28:30,"['Resilience', 'AI', 'SAPPartner']",[],,
"RT @Eli_Krumova: Hypothesis: Difference between conditions/ groups/ means🔍🔖

v/ @SourabhSKatoch
#Python #MachineLearning #ML #AI #DL #100Da…",xael bot,745407,3352,Earth,False,0,19,2020-12-06 19:27:45,"['Python', 'MachineLearning', 'ML', 'AI', 'DL']",[],,
"RT @Udemy_Coupons1: Learn 4 STEPS to Make Money Online by Blogging! | 100%OFF Coupon https://t.co/m9YjgZs4vE

#MachineLearning #BigData #An…",HubOfML,293394,6751,Germany ,False,0,22,2020-12-06 19:27:09,"['MachineLearning', 'BigData']",[],,
"RT @Udemy_Coupons1: Learn 4 STEPS to Make Money Online by Blogging! | 100%OFF Coupon https://t.co/m9YjgZs4vE

#MachineLearning #BigData #An…",Friday,274110,1148,,False,0,22,2020-12-06 19:27:09,"['MachineLearning', 'BigData']",[],,
"RT @Udemy_Coupons1: Learn 4 STEPS to Make Money Online by Blogging! | 100%OFF Coupon https://t.co/m9YjgZs4vE

#MachineLearning #BigData #An…",DataScienceRush,7712,213,"London, UK",False,0,22,2020-12-06 19:27:09,"['MachineLearning', 'BigData']",[],,
"RT @Udemy_Coupons1: Learn 4 STEPS to Make Money Online by Blogging! | 100%OFF Coupon https://t.co/m9YjgZs4vE

#MachineLearning #BigData #An…",Gnuts about Code,534236,3376,,False,0,22,2020-12-06 19:27:09,"['MachineLearning', 'BigData']",[],,
"RT @Eli_Krumova: #DeepLearning with #PyTorch: #Deploying 1st #NeuralNetwork 👨🏽‍💻🔰
⬇️
https://t.co/Ok7SNpsxKJ
v/ @SourabhSKatoch

#DL #Machi…",Curious Luke,261516,5670,Switzerland,False,0,31,2020-12-06 19:27:06,"['DeepLearning', 'PyTorch', 'Deploying', 'NeuralNetwork', 'DL']",[],,
"RT @Udemy_Coupons1: Learn 4 STEPS to Make Money Online by Blogging! | 100%OFF Coupon https://t.co/m9YjgZs4vE

#MachineLearning #BigData #An…",xael bot,745407,3352,Earth,False,0,22,2020-12-06 19:27:05,"['MachineLearning', 'BigData']",[],,
"RT @Udemy_Coupons1: Learn 4 STEPS to Make Money Online by Blogging! | 100%OFF Coupon https://t.co/m9YjgZs4vE

#MachineLearning #BigData #An…",API Learn Community,42681,2290,,False,0,22,2020-12-06 19:27:04,"['MachineLearning', 'BigData']",[],,
