Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
RT @EdKwedar: Learning #Python: The Ultimate Guide for Beginners to Coding. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #RSt…,the404code,68312,1167,,False,0,23,2020-12-07 05:33:04,"['Python', 'BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT']",[],,
"RT @pak_aims: OLAP cubes for Advanced  Analytics▶️
#Analytics #BigData #AI #javascript #DataAnalytics #Rstats #Reactjs #IoT #IIoT #Linux #S…",the404code,68312,1167,,False,0,12,2020-12-07 05:33:04,"['Analytics', 'BigData', 'AI', 'javascript', 'DataAnalytics', 'Rstats', 'Reactjs', 'IoT', 'IIoT', 'Linux']",[],,
RT @EdKwedar: 8 Best Free Resources To Learn Deep #ReinforcementLearning Using #TensorFlow | #BigData #Analytics #DataScience #AI #MachineL…,the404code,68312,1167,,False,0,29,2020-12-07 05:33:04,"['ReinforcementLearning', 'TensorFlow', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
"RT @techopcode: Roadmap to Becoming an AI Expert in 2020

#BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RSta…",Friday,274110,1148,,False,0,49,2020-12-07 05:32:36,"['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'PyTorch', 'Python']",[],,
"RT @techopcode: Roadmap to Becoming an AI Expert in 2020

#BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RSta…",AltF4 Bot,41073,391,CPU,False,0,49,2020-12-07 05:32:35,"['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'PyTorch', 'Python']",[],,
"RT @KirkDBorne: Top 10 #BI and Data Trends to watch in 2021: https://t.co/8rDozabg2K by @qlik via @DataScienceCtrl 
——————
#abdsc #BigData…",AI Bot,131748,508,,False,0,11,2020-12-07 05:30:24,"['BI', 'abdsc', 'BigData']",[],,
"RT @Eli_Krumova: 5 Common #Python Errors &amp; How To Avoid Them💡🤓
👇🏽
https://t.co/vOph5alyvM
v/ @SourabhSKatoch

#MachineLearning #ML #AI #DL…",Education World,52322,841,,False,0,21,2020-12-07 05:30:19,"['Python', 'MachineLearning', 'ML', 'AI', 'DL']",[],,
"RT @KirkDBorne: Top 10 #BI and Data Trends to watch in 2021: https://t.co/8rDozabg2K by @qlik via @DataScienceCtrl 
——————
#abdsc #BigData…",S. S. Xman,447203,4661,"Benin-City, Nigeria",False,0,11,2020-12-07 05:30:18,"['BI', 'abdsc', 'BigData']",[],,
"RT @R_Demidchuk: From Telehealth To Infection Control, How #5G, Edge &amp; #IoT Are Transforming Healthcare https://t.co/m5pgFRzPqu

#DigitalTr…",Curious Luke,261516,5670,Switzerland,False,0,101,2020-12-07 05:30:12,"['5G', 'IoT']",[],,
"RT @R_Demidchuk: From Telehealth To Infection Control, How #5G, Edge &amp; #IoT Are Transforming Healthcare https://t.co/m5pgFRzPqu

#DigitalTr…",GoldHealthInsurance,18173,435,,False,0,101,2020-12-07 05:30:05,"['5G', 'IoT']",[],,
"RT @BigDataQueen_me: Fast #reinforcementlearning using compositions https://t.co/RfSYYivbpH
✅⛔️
#bigDataQueen #bigdata
#Python #MachineLear…",API Learn Community,42681,2290,,False,0,9,2020-12-07 05:27:55,"['reinforcementlearning', 'bigDataQueen', 'bigdata', 'Python']",[],,
RT @gp_pulipaka: #xAI-EWS — An Explainable #AI Model for #HealthTech. #BigData #Analytics #DataScience #MachineLearning #IoT #IIoT #Python…,Python for Data Science,31239,1276,,False,0,23,2020-12-07 05:27:24,"['xAI', 'AI', 'HealthTech', 'BigData', 'Analytics', 'DataScience', 'MachineLearning', 'IoT', 'IIoT', 'Python']",[],,
